comment,cleaned_comment,tokenized_comment,stopwords_comment,stemmed_comment,cleaned_stemmed,sentiment_prediction
Biasa nya bosen banget lihat timnas indo berpuluh-puluh tahun lawan negara² asean melulu. Dalam 5 tahun terakhir pertandingan² timnas indo menghapus kebosanan dengan lawan tanding negara² asia lainnya,biasa nya bosen banget lihat timnas indo berpuluh puluh tahun lawan negara asean melulu dalam tahun terakhir pertandingan timnas indo menghapus kebosanan dengan lawan tanding negara asia lainnya,"['biasa', 'nya', 'bosen', 'banget', 'lihat', 'timnas', 'indo', 'berpuluh', 'puluh', 'tahun', 'lawan', 'negara', 'asean', 'melulu', 'dalam', 'tahun', 'terakhir', 'pertandingan', 'timnas', 'indo', 'menghapus', 'kebosanan', 'dengan', 'lawan', 'tanding', 'negara', 'asia', 'lainnya']","['bosen', 'banget', 'lihat', 'timnas', 'indo', 'berpuluh', 'puluh', 'lawan', 'negara', 'asean', 'melulu', 'pertandingan', 'timnas', 'indo', 'menghapus', 'kebosanan', 'lawan', 'tanding', 'negara', 'asia']","['bosen', 'banget', 'lihat', 'timnas', 'indo', 'puluh', 'puluh', 'lawan', 'negara', 'asean', 'melulu', 'tanding', 'timnas', 'indo', 'hapus', 'bosan', 'lawan', 'tanding', 'negara', 'asia']",bosen banget lihat timnas indo puluh puluh lawan negara asean melulu tanding timnas indo hapus bosan lawan tanding negara asia,negative
KOMENTATOR PERLU BELAJAR LOTG ABANDEMEN TERBARU 2023/2024......,komentator perlu belajar lotg abandemen terbaru,"['komentator', 'perlu', 'belajar', 'lotg', 'abandemen', 'terbaru']","['komentator', 'belajar', 'lotg', 'abandemen', 'terbaru']","['komentator', 'ajar', 'lotg', 'abandemen', 'baru']",komentator ajar lotg abandemen baru,negative
bang Sandyicecream kalo crossing powerr banget😭,bang sandyicecream kalau crossing powerr banget,"['bang', 'sandyicecream', 'kalau', 'crossing', 'powerr', 'banget']","['bang', 'sandyicecream', 'crossing', 'powerr', 'banget']","['bang', 'sandyicecream', 'crossing', 'powerr', 'banget']",bang sandyicecream crossing powerr banget,negative
"UTK PENYERANG HARUS DIAJARIN LEBIH LG, GMNNA BERHADAPAN 1 VS 1 DGN KIPER.",untuk penyerang harus diajarin lebih lagi gmnna berhadapan versus dengan kiper,"['untuk', 'penyerang', 'harus', 'diajarin', 'lebih', 'lagi', 'gmnna', 'berhadapan', 'versus', 'dengan', 'kiper']","['penyerang', 'diajarin', 'gmnna', 'berhadapan', 'versus', 'kiper']","['serang', 'diajarin', 'gmnna', 'hadap', 'versus', 'kiper']",serang diajarin gmnna hadap versus kiper,negative
"Indonesia keren banget mainnya SUMPAH. Gua kebangun pas d babak kedua, dan gak sia"" gua nonton Timnas Indonesia dgn permainan Berkelasss sperti tdi pagi. Maju dan terbanglah terus GARUDAKU💪💪💪",indonesia keren banget mainnya sumpah saya kebangun pas di babak kedua dan tidak sia saya nonton timnas indonesia dengan permainan berkelass sperti tdi pagi maju dan terbanglah terus garudaku,"['indonesia', 'keren', 'banget', 'mainnya', 'sumpah', 'saya', 'kebangun', 'pas', 'di', 'babak', 'kedua', 'dan', 'tidak', 'sia', 'saya', 'nonton', 'timnas', 'indonesia', 'dengan', 'permainan', 'berkelass', 'sperti', 'tdi', 'pagi', 'maju', 'dan', 'terbanglah', 'terus', 'garudaku']","['indonesia', 'keren', 'banget', 'mainnya', 'sumpah', 'kebangun', 'pas', 'babak', 'sia', 'nonton', 'timnas', 'indonesia', 'permainan', 'berkelass', 'sperti', 'tdi', 'pagi', 'maju', 'terbanglah', 'garudaku']","['indonesia', 'keren', 'banget', 'main', 'sumpah', 'bangun', 'pas', 'babak', 'sia', 'nonton', 'timnas', 'indonesia', 'main', 'berkelass', 'sperti', 'tdi', 'pagi', 'maju', 'terbang', 'garuda']",indonesia keren banget main sumpah bangun pas babak sia nonton timnas indonesia main berkelass sperti tdi pagi maju terbang garuda,negative
"Verdonk patut di apresiasi juga, ini pemain keren banget mentalnya, terus gaada capenya juga, tenang bgt kalo jaga lawan.",verdonk patut di apresiasi juga ini pemain keren banget mentalnya terus gaada capenya juga tenang banget kalau jaga lawan,"['verdonk', 'patut', 'di', 'apresiasi', 'juga', 'ini', 'pemain', 'keren', 'banget', 'mentalnya', 'terus', 'gaada', 'capenya', 'juga', 'tenang', 'banget', 'kalau', 'jaga', 'lawan']","['verdonk', 'patut', 'apresiasi', 'pemain', 'keren', 'banget', 'mentalnya', 'gaada', 'capenya', 'tenang', 'banget', 'jaga', 'lawan']","['verdonk', 'patut', 'apresiasi', 'main', 'keren', 'banget', 'mental', 'gaada', 'cape', 'tenang', 'banget', 'jaga', 'lawan']",verdonk patut apresiasi main keren banget mental gaada cape tenang banget jaga lawan,negative
Kalo kamu lihat lagi bagaimana cairnya alur penyerangan dari tengah oleh Sandy Walsh ketika para pemain depan berani untuk menusuk ke jantung pertahanan.,kalau kamu lihat lagi bagaimana cairnya alur penyerangan dari tengah oleh sandy walsh ketika para pemain depan berani untuk menusuk ke jantung pertahanan,"['kalau', 'kamu', 'lihat', 'lagi', 'bagaimana', 'cairnya', 'alur', 'penyerangan', 'dari', 'tengah', 'oleh', 'sandy', 'walsh', 'ketika', 'para', 'pemain', 'depan', 'berani', 'untuk', 'menusuk', 'ke', 'jantung', 'pertahanan']","['lihat', 'cairnya', 'alur', 'penyerangan', 'sandy', 'walsh', 'pemain', 'berani', 'menusuk', 'jantung', 'pertahanan']","['lihat', 'cair', 'alur', 'serang', 'sandy', 'walsh', 'main', 'berani', 'tusuk', 'jantung', 'tahan']",lihat cair alur serang sandy walsh main berani tusuk jantung tahan,negative
sebelah Roberto mancini aja di bikin pusing sama sty😂,sebelah roberto mancini saja di bikin pusing sama sty,"['sebelah', 'roberto', 'mancini', 'saja', 'di', 'bikin', 'pusing', 'sama', 'sty']","['sebelah', 'roberto', 'mancini', 'bikin', 'pusing', 'sty']","['belah', 'roberto', 'mancini', 'bikin', 'pusing', 'sty']",belah roberto mancini bikin pusing sty,negative
pengalaman marten paes emang ngak bisa di bohongi.,pengalaman marten paes emang ngak bisa di bohongi,"['pengalaman', 'marten', 'paes', 'emang', 'ngak', 'bisa', 'di', 'bohongi']","['pengalaman', 'marten', 'paes', 'emang', 'ngak', 'bohongi']","['alam', 'marten', 'paes', 'emang', 'ngak', 'bohong']",alam marten paes emang ngak bohong,negative
"Semoga timnas Indonesia KALAH 😂😂seri aja komentar nya pada tengil apalagi kalo menang 😅😅, apalagi komentatornya, besok kalo kalah pasti pada di caci pemain timnas oleh netizen 😂😂 suporter Indonesia kan begitu",semoga timnas indonesia kalah seri saja komentar nya pada tengil apalagi kalau menang apalagi komentatornya besok kalau kalah pasti pada di caci pemain timnas oleh netizen suporter indonesia kan begitu,"['semoga', 'timnas', 'indonesia', 'kalah', 'seri', 'saja', 'komentar', 'nya', 'pada', 'tengil', 'apalagi', 'kalau', 'menang', 'apalagi', 'komentatornya', 'besok', 'kalau', 'kalah', 'pasti', 'pada', 'di', 'caci', 'pemain', 'timnas', 'oleh', 'netizen', 'suporter', 'indonesia', 'kan', 'begitu']","['semoga', 'timnas', 'indonesia', 'kalah', 'seri', 'komentar', 'tengil', 'menang', 'komentatornya', 'besok', 'kalah', 'caci', 'pemain', 'timnas', 'netizen', 'suporter', 'indonesia']","['moga', 'timnas', 'indonesia', 'kalah', 'seri', 'komentar', 'tengil', 'menang', 'komentator', 'besok', 'kalah', 'caci', 'main', 'timnas', 'netizen', 'suporter', 'indonesia']",moga timnas indonesia kalah seri komentar tengil menang komentator besok kalah caci main timnas netizen suporter indonesia,negative
"indonesia makin keren ,  dlu kalo ktmu tim2 besar , sda pesimis , ahh pasti kalah , skrng no ,  sty keren .",indonesia makin keren dlu kalau ktmu tim besar sda pesimis ahh pasti kalah skrng no sty keren,"['indonesia', 'makin', 'keren', 'dlu', 'kalau', 'ktmu', 'tim', 'besar', 'sda', 'pesimis', 'ahh', 'pasti', 'kalah', 'skrng', 'no', 'sty', 'keren']","['indonesia', 'keren', 'dlu', 'ktmu', 'tim', 'sda', 'pesimis', 'ahh', 'kalah', 'skrng', 'sty', 'keren']","['indonesia', 'keren', 'dlu', 'ktmu', 'tim', 'sda', 'pesimis', 'ahh', 'kalah', 'skrng', 'sty', 'keren']",indonesia keren dlu ktmu tim sda pesimis ahh kalah skrng sty keren,negative
Teriakan garuda mengelora di stasiun arab saudi,teriakan garuda mengelora di stasiun arab saudi,"['teriakan', 'garuda', 'mengelora', 'di', 'stasiun', 'arab', 'saudi']","['teriakan', 'garuda', 'mengelora', 'stasiun', 'arab', 'saudi']","['ria', 'garuda', 'mengelora', 'stasiun', 'arab', 'saudi']",ria garuda mengelora stasiun arab saudi,negative
Cman mo liat komenan netijen indo yg budiman,cman mo lihat komenan netijen indo yang budiman,"['cman', 'mo', 'lihat', 'komenan', 'netijen', 'indo', 'yang', 'budiman']","['cman', 'mo', 'lihat', 'komenan', 'netijen', 'indo', 'budiman']","['cman', 'mo', 'lihat', 'komenan', 'netijen', 'indo', 'budiman']",cman mo lihat komenan netijen indo budiman,negative
Knp lawan jepang memble kalah gpp  1 aj,kenapa lawan jepang memble kalah gpp saja,"['kenapa', 'lawan', 'jepang', 'memble', 'kalah', 'gpp', 'saja']","['lawan', 'jepang', 'memble', 'kalah', 'gpp']","['lawan', 'jepang', 'memble', 'kalah', 'gpp']",lawan jepang memble kalah gpp,negative
GarudaQ sekarang sekelas argentina..vietnam bs kalahkn timnas qta lapis 2 seolah2 mreka sdh mmpu kalahkn jerman..😂😂,garudaq sekarang sekelas argentina vietnam bisa kalahkn timnas qta lapis seolah mreka sudah mmpu kalahkn jerman,"['garudaq', 'sekarang', 'sekelas', 'argentina', 'vietnam', 'bisa', 'kalahkn', 'timnas', 'qta', 'lapis', 'seolah', 'mreka', 'sudah', 'mmpu', 'kalahkn', 'jerman']","['garudaq', 'sekelas', 'argentina', 'vietnam', 'kalahkn', 'timnas', 'qta', 'lapis', 'mreka', 'mmpu', 'kalahkn', 'jerman']","['garudaq', 'kelas', 'argentina', 'vietnam', 'kalahkn', 'timnas', 'qta', 'lapis', 'mreka', 'mmpu', 'kalahkn', 'jerman']",garudaq kelas argentina vietnam kalahkn timnas qta lapis mreka mmpu kalahkn jerman,negative
Gila gila..emang keren...ini namanya berjuang,gila gila emang keren ini namanya berjuang,"['gila', 'gila', 'emang', 'keren', 'ini', 'namanya', 'berjuang']","['gila', 'gila', 'emang', 'keren', 'namanya', 'berjuang']","['gila', 'gila', 'emang', 'keren', 'nama', 'juang']",gila gila emang keren nama juang,negative
90+6=99..dan mencoba mengulang 90+7=99.. gagal samakan kedudukan.😂😂😂,dan mencoba mengulang gagal samakan kedudukan,"['dan', 'mencoba', 'mengulang', 'gagal', 'samakan', 'kedudukan']","['mencoba', 'mengulang', 'gagal', 'samakan', 'kedudukan']","['coba', 'ulang', 'gagal', 'sama', 'duduk']",coba ulang gagal sama duduk,negative
Gk nyangka liat indo bisa tahan imbang tuan rumah.,tidak nyangka lihat indo bisa tahan imbang tuan rumah,"['tidak', 'nyangka', 'lihat', 'indo', 'bisa', 'tahan', 'imbang', 'tuan', 'rumah']","['nyangka', 'lihat', 'indo', 'tahan', 'imbang', 'tuan', 'rumah']","['nyangka', 'lihat', 'indo', 'tahan', 'imbang', 'tuan', 'rumah']",nyangka lihat indo tahan imbang tuan rumah,negative
Keren fuull,keren fuull,"['keren', 'fuull']","['keren', 'fuull']","['keren', 'fuull']",keren fuull,negative
giliran indo main. komentator nya ini mulu,giliran indo main komentator nya ini mulu,"['giliran', 'indo', 'main', 'komentator', 'nya', 'ini', 'mulu']","['giliran', 'indo', 'main', 'komentator', 'mulu']","['gilir', 'indo', 'main', 'komentator', 'mulu']",gilir indo main komentator mulu,negative
Marselino lagi gacor,marselino lagi gacor,"['marselino', 'lagi', 'gacor']","['marselino', 'gacor']","['marselino', 'gacor']",marselino gacor,negative
Segini doang yg ngalahin argentina,segini doang yang ngalahin argentina,"['segini', 'doang', 'yang', 'ngalahin', 'argentina']","['segini', 'doang', 'ngalahin', 'argentina']","['gin', 'doang', 'ngalahin', 'argentina']",gin doang ngalahin argentina,negative
RCTI di Jepara ga ada,rcti di jepara tidak ada,"['rcti', 'di', 'jepara', 'tidak', 'ada']","['rcti', 'jepara']","['rcti', 'jepara']",rcti jepara,negative
"Yang saya lihat sih di sini sudut pandang cara bermain pemain lokal dan eropa, pemain eropa jelas sekali walaupun tertekan tetep fight dan tidak membuang bola, coba perhatikan riski ridho begitu panik di belakang langsung buang bola ntah kemana padahal masih bisa di passing ke temen nya",yang saya lihat sih di sini sudut pandang cara bermain pemain lokal dan eropa pemain eropa jelas sekali walaupun tertekan tetep fight dan tidak membuang bola coba perhatikan riski ridho begitu panik di belakang langsung buang bola ntah kemana padahal masih bisa di passing ke temen nya,"['yang', 'saya', 'lihat', 'sih', 'di', 'sini', 'sudut', 'pandang', 'cara', 'bermain', 'pemain', 'lokal', 'dan', 'eropa', 'pemain', 'eropa', 'jelas', 'sekali', 'walaupun', 'tertekan', 'tetep', 'fight', 'dan', 'tidak', 'membuang', 'bola', 'coba', 'perhatikan', 'riski', 'ridho', 'begitu', 'panik', 'di', 'belakang', 'langsung', 'buang', 'bola', 'ntah', 'kemana', 'padahal', 'masih', 'bisa', 'di', 'passing', 'ke', 'temen', 'nya']","['lihat', 'sih', 'sudut', 'pandang', 'bermain', 'pemain', 'lokal', 'eropa', 'pemain', 'eropa', 'tertekan', 'tetep', 'fight', 'membuang', 'bola', 'coba', 'perhatikan', 'riski', 'ridho', 'panik', 'langsung', 'buang', 'bola', 'ntah', 'kemana', 'passing', 'temen']","['lihat', 'sih', 'sudut', 'pandang', 'main', 'main', 'lokal', 'eropa', 'main', 'eropa', 'tekan', 'tetep', 'fight', 'buang', 'bola', 'coba', 'perhati', 'riski', 'ridho', 'panik', 'langsung', 'buang', 'bola', 'ntah', 'mana', 'passing', 'temen']",lihat sih sudut pandang main main lokal eropa main eropa tekan tetep fight buang bola coba perhati riski ridho panik langsung buang bola ntah mana passing temen,negative
Pediksi tertinggiku ya imbang 1-1. Bisa cetak gol udah keren pake banget lawan gedebok pisang langganan pildun gini 🔥,pediksi tertinggiku iya imbang bisa cetak gol udah keren pake banget lawan gedebok pisang langganan pildun gini,"['pediksi', 'tertinggiku', 'iya', 'imbang', 'bisa', 'cetak', 'gol', 'udah', 'keren', 'pake', 'banget', 'lawan', 'gedebok', 'pisang', 'langganan', 'pildun', 'gini']","['pediksi', 'tertinggiku', 'iya', 'imbang', 'cetak', 'gol', 'udah', 'keren', 'pake', 'banget', 'lawan', 'gedebok', 'pisang', 'langganan', 'pildun', 'gini']","['diksi', 'tinggi', 'iya', 'imbang', 'cetak', 'gol', 'udah', 'keren', 'pake', 'banget', 'lawan', 'gedebok', 'pisang', 'langgan', 'pildun', 'gin']",diksi tinggi iya imbang cetak gol udah keren pake banget lawan gedebok pisang langgan pildun gin,negative
Hati hati jikalau garuda mengudara!!,hati hati jikalau garuda mengudara,"['hati', 'hati', 'jikalau', 'garuda', 'mengudara']","['hati', 'hati', 'garuda', 'mengudara']","['hati', 'hati', 'garuda', 'udara']",hati hati garuda udara,negative
"R.Mancini : emg gampang lawan king indo,,? gua aja di tahan imbang dikandang sendiri. 😂😂",mancini emg gampang lawan king indo saya saja di tahan imbang dikandang sendiri,"['mancini', 'emg', 'gampang', 'lawan', 'king', 'indo', 'saya', 'saja', 'di', 'tahan', 'imbang', 'dikandang', 'sendiri']","['mancini', 'emg', 'gampang', 'lawan', 'king', 'indo', 'tahan', 'imbang', 'dikandang']","['mancini', 'emg', 'gampang', 'lawan', 'king', 'indo', 'tahan', 'imbang', 'kandang']",mancini emg gampang lawan king indo tahan imbang kandang,negative
"Otw piala dunia
Bye bye Malaysia 😂😂😊",otw piala dunia bye bye malaysia,"['otw', 'piala', 'dunia', 'bye', 'bye', 'malaysia']","['otw', 'piala', 'dunia', 'bye', 'bye', 'malaysia']","['otw', 'piala', 'dunia', 'bye', 'bye', 'malaysia']",otw piala dunia bye bye malaysia,negative
Ngeri perjuangan Justin hubner... Selalu ngotot.. 🎉🎉,ngeri perjuangan justin hubner selalu ngotot,"['ngeri', 'perjuangan', 'justin', 'hubner', 'selalu', 'ngotot']","['ngeri', 'perjuangan', 'justin', 'hubner', 'ngotot']","['ngeri', 'juang', 'justin', 'hubner', 'ngotot']",ngeri juang justin hubner ngotot,negative
Marcelino membungkam mulut2 kaum nyinyiran 🫵🇮🇩🤣🤣🤣🤣✅,marcelino membungkam mulut kaum nyinyiran,"['marcelino', 'membungkam', 'mulut', 'kaum', 'nyinyiran']","['marcelino', 'membungkam', 'mulut', 'kaum', 'nyinyiran']","['marcelino', 'bungkam', 'mulut', 'kaum', 'nyinyir']",marcelino bungkam mulut kaum nyinyir,negative
Tom haye ..mntap...,tom haye mntap,"['tom', 'haye', 'mntap']","['tom', 'haye', 'mntap']","['tom', 'haye', 'mntap']",tom haye mntap,negative
"Kompak bgt njir,,, Wak haji gak diragukan lagi,,tapi Rafael sama witan sekarang lebih m ningkat 🎉",kompak banget njir wak haji tidak diragukan lagi tapi rafael sama witan sekarang lebih ningkat,"['kompak', 'banget', 'njir', 'wak', 'haji', 'tidak', 'diragukan', 'lagi', 'tapi', 'rafael', 'sama', 'witan', 'sekarang', 'lebih', 'ningkat']","['kompak', 'banget', 'njir', 'wak', 'haji', 'diragukan', 'rafael', 'witan', 'ningkat']","['kompak', 'banget', 'njir', 'wak', 'haji', 'ragu', 'rafael', 'witan', 'ningkat']",kompak banget njir wak haji ragu rafael witan ningkat,negative
Sty mode ga mau di pecat 🔥🗿,sty mode tidak mau di pecat,"['sty', 'mode', 'tidak', 'mau', 'di', 'pecat']","['sty', 'mode', 'pecat']","['sty', 'mode', 'pecat']",sty mode pecat,negative
17:15 ini kalo Struick agak cermat dikit bisa tipuan balik badan adu sprint itu bawa sendiri bolanya.. udah kosong bgt padahal huhu,ini kalau struick agak cermat dikit bisa tipuan balik badan adu sprint itu bawa sendiri bolanya udah kosong banget padahal huhu,"['ini', 'kalau', 'struick', 'agak', 'cermat', 'dikit', 'bisa', 'tipuan', 'balik', 'badan', 'adu', 'sprint', 'itu', 'bawa', 'sendiri', 'bolanya', 'udah', 'kosong', 'banget', 'padahal', 'huhu']","['struick', 'cermat', 'dikit', 'tipuan', 'badan', 'adu', 'sprint', 'bawa', 'bolanya', 'udah', 'kosong', 'banget', 'huhu']","['struick', 'cermat', 'dikit', 'tipu', 'badan', 'adu', 'sprint', 'bawa', 'bola', 'udah', 'kosong', 'banget', 'huhu']",struick cermat dikit tipu badan adu sprint bawa bola udah kosong banget huhu,negative
M. TahiR mana tahir 😂😂😂. Katanya Timnas skrg bisa sparing lwan dia hahahaha.,tahir mana tahir katanya timnas skrg bisa sparing lwan dia hahahaha,"['tahir', 'mana', 'tahir', 'katanya', 'timnas', 'skrg', 'bisa', 'sparing', 'lwan', 'dia', 'hahahaha']","['tahir', 'tahir', 'timnas', 'skrg', 'sparing', 'lwan']","['tahir', 'tahir', 'timnas', 'skrg', 'sparing', 'lwan']",tahir tahir timnas skrg sparing lwan,negative
Liat expresi mancini saat kebobolam 😂,lihat expresi mancini saat kebobolam,"['lihat', 'expresi', 'mancini', 'saat', 'kebobolam']","['lihat', 'expresi', 'mancini', 'kebobolam']","['lihat', 'expresi', 'mancini', 'kebobolam']",lihat expresi mancini kebobolam,negative
Hidup Pak Erick Thohir... ❤❤,hidup pak erick thohir,"['hidup', 'pak', 'erick', 'thohir']","['hidup', 'erick', 'thohir']","['hidup', 'erick', 'thohir']",hidup erick thohir,negative
islam ktp mampu kalahkan islam pusat🔥,islam ktp mampu kalahkan islam pusat,"['islam', 'ktp', 'mampu', 'kalahkan', 'islam', 'pusat']","['islam', 'ktp', 'kalahkan', 'islam', 'pusat']","['islam', 'ktp', 'kalah', 'islam', 'pusat']",islam ktp kalah islam pusat,negative
yang tv parabola juga ga ditayangkan,yang tv parabola juga tidak ditayangkan,"['yang', 'tv', 'parabola', 'juga', 'tidak', 'ditayangkan']","['tv', 'parabola', 'ditayangkan']","['tv', 'parabola', 'tayang']",tv parabola tayang,negative
Ajak elkan bangot dong😢,ajak elkan bangot dong,"['ajak', 'elkan', 'bangot', 'dong']","['ajak', 'elkan', 'bangot']","['ajak', 'elkan', 'bangot']",ajak elkan bangot,negative
"di luar dugaan sy pribadi bs menang lawan arab 3 poin sngat berharga,gila sih perjuangan nya,terutam calvin verdonk selalu konsisten.",di luar dugaan saya pribadi bisa menang lawan arab poin sngat berharga gila sih perjuangan nya terutam calvin verdonk selalu konsisten,"['di', 'luar', 'dugaan', 'saya', 'pribadi', 'bisa', 'menang', 'lawan', 'arab', 'poin', 'sngat', 'berharga', 'gila', 'sih', 'perjuangan', 'nya', 'terutam', 'calvin', 'verdonk', 'selalu', 'konsisten']","['dugaan', 'pribadi', 'menang', 'lawan', 'arab', 'poin', 'sngat', 'berharga', 'gila', 'sih', 'perjuangan', 'terutam', 'calvin', 'verdonk', 'konsisten']","['duga', 'pribadi', 'menang', 'lawan', 'arab', 'poin', 'sngat', 'harga', 'gila', 'sih', 'juang', 'terutam', 'calvin', 'verdonk', 'konsisten']",duga pribadi menang lawan arab poin sngat harga gila sih juang terutam calvin verdonk konsisten,negative
