cleaned_stemmed,sentiment_prediction
ketua pssi bawa ubah sepak bola indonesia lepas jokowi percaya pengelolaanya eric tohir terima kasih jokowi terima kasih eric terima kasih sty terima kasih squad garuda juang rakyat indonesia bangga harap bangsa pimpin orang duli maju bangsa maju indonesia bangga bangsa jaya bangsa,positive
komentator kena roh arab abdullulah,positive
heh latih arab manchini iya,positive
komentator banyak alhamdulilah main timnas banyak nasrani kk,negative
komentator agam banget iya,positive
timnas indonesia main,positive
lombok rcti macet min seru nonton,negative
sadar latih arab roberto mancini legenda italy,positive
pakai erik cari striker tajam haus goll mdh timnas lolos piala dunia amin,positive
selesai mai jangn langsung ganti siar tv sinetron woe admin rcti tv stidaknya konfrensi pers gimna,negative
audio rcti gimna haduh tv parah banget audio pas lagu tanah air,negative
mending indosiar,positive
lumayan kuat tahan paes bukti kelas,positive
orang main,positive
tailaso rcti,positive
hadir,positive
ti kucing,positive
live streaming indonesia versus australia,positive
masya allah tim nas indonesia latih shin tae yong main terima kasih pssi,positive
semagat indonesia negri eehh maksud maff typo,positive
mntp,positive
gacor haji botak wak haji ah selesai umroh gacor maen,negative
wak haji mantap maimya,positive
skor,negative
gol arab saudi doa komentator rcti,positive
style wasit colina,negative
hoki,positive
legiun asing indonesia,positive
manyala indonesia,positive
rcti best tayang sepakbola olahraga bravo rcti,positive
saran tayang rcti khusus live tanding timnas indonesia main tuan rumah langsung putus tanding moment suporter menyayikan lagu tanah air,positive
persen main indo orang negeri negeri lemah,negative
wak haji ragnar keren,positive
menit gol umpan kuat,positive
main indonesia,positive
witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan witan,positive
lihat bola indonesia moga depan banya main naturalisasi wajah indo bakar semangat negri cinta,positive
belanda versus arab mah,positive
singkat padat allah maha adil,negative
nitip komentar kesini piala dunia bismillahirrahmanirrahim,negative
optimis masuk pildun ntah jalur otomatis peringkat round pildun ikut tim beda pildun kemaren sempat masuk pildun kalah raja ntah pildun lumbung gol,positive
sty slm el klemer pingsan lapang harap ganti yaa,negative
mending tayang indosiar sctv pas menyayikan lagu sakral siar langsung kalalu rcti banyak iklan,positive
arab indonesia,positive
doain arab saudi gagal masuk pildun,negative
indonesia bnyak main luar mksudny pribumi asli indonesia bnyak main luar kayak,positive
butuh striker murni timnas,negative
emang bener timnas pilih main naturalisasi proper saing internasional,positive
bilang grup neraka indonesia cipta neraka group moga lolos pildun aaminn,negative
butuh striker playmaker tom haye,positive
lapang lebar banget kyanya iya luas banget sesuai standar fifa stadion lapang lebar banget,positive
indonesia kerenn,positive
arab negoro ruwet pnggh perang aee,negative
keren indonesia,positive
kiper timnas indonesia si paes de gea versi indonesia,positive
alhamdulillah,positive
bule semuaa,negative
sangka main indonesia persis barcelona bangga,positive
mantul,positive
mending hubnner cf wwkwwkkw rafael blunder,negative
gokil nomer main indo sih lari umpan speed udah kaya main europa skill team tambah kiper cun banget segi body fisik pas keren banget indo tinggal serang bener tajam gokil nomer moga tajam serang indo mesin motor udah kaya roberto carlos cepat speednya keren keren,positive
saji main bola bagus timnas indonesia ku,positive
kualitas komentator pas iya ngambang,negative
boulaihy hibur,positive
ragnar joss,positive
piala dunia indonesia versus australia sepak bola,positive
pssi versus australia,negative
highlight rcti emang keren indosiar bri liga,positive
jepang posisi indonesia posisi hasil seri arab jepang hasil seri temu temu main jepang kena kartu merah lawan tim tim juang penuh australia seok lolos,negative
besok lawan australia main lokal main,positive
gigi main naturalisasi indonesia darah oh sty selamat indonesia moga lolos tuhan yesus kati aminn,positive
timnas menang andai peluang serang manfaat sayang bola alir sempurna kaki rafael rekan posisi untung anda rafael ganti serang segar ubah tambah goal point,positive
tegang serang sih tegang deg udah cetak gol cek var bikin tegang serang sih,negative
ernando udah bener sih,negative
timnas piu piala liga mek city fc arab saudi senior legendaris muda junior stars xvii latih kepala sepak bola iqwal fasichul lisan kerjasama latih kepala sepak bola piala liga arab saudi leagues,positive
menit peluang indonesia,positive
biasa habis lawan grup elit next game santai moga main jaga main game depan,negative
alhamdulillaa,positive
lawan astrralia fokus menyerabg,negative
si botak main kasar mulu takut kena kartu merah rugi timnas,negative
saudi arabia latih manchini kren timnas indonesia lawan latih kawal,positive
jan pasang ferrari mudah emosi bahaya piala dunia asia kartu merah kacau erick tinggal cari serang tajam,negative
besok komentator ganti,positive
kunci serang witan,positive
mamat versi bule,positive
tumben menit priit pruiitt iya isi main indo kebanyakn orang asing lawan orang orang mata sipit,negative
bayang main wc menang pulih juta nonton moga timnas tembuh wc aamiin,positive
mantap,positive
ausie tetap ausie scara main kmaren kalah bahrain apes menit bobol scara rank banget banding timnas versus pasang target realistis iya guys draw istimewa timnas menang bonus segenap bangsa,positive
kualitas main baik kualitas manajemen pssi baik kualitas komentar,positive
indonesia butuh witan percaya percaya bukti omong witan main serang indonesia produktiv,positive
layar shoppe,positive
neng jidat selamat nempel jadah,positive
rugi indonesia impor main iya kak,positive
komentator lawan australia ganti kah kayak semangat dengernya,negative
main bagus indonesia menang keren,positive
nang baca komenan bro bangga stap main indonesia bangga bravo timnas indonesia,positive
full mna lool,positive
kemarin koar lokal nih,positive
hadehh sinyal rcti tempat margaasih bandung ilang wae gimana nih solusi sinyal chanel bagus,positive
bosen bosen lihat timnas versus arab serasa piala dunia main kelas dunia,negative
bukti organisasi urus profesional ex aparat hasil,positive
ragnar oratmangoen best,positive
yok yok sejarah away udah gacor lawan kaleng yok kandang optimis poin,negative
hurup jejak,negative
rafael seleksi pasar kuat licin belut mantap,positive
smua kiper indo neng gocek bola gawang langsung tendang untung gol klog goll mati hujat,negative
proses gol badan main bola ubah arah,positive
tulis ancam menang hidup indonesia,negative
langgan vision dismart tv sia,negative
mantap indonesia ku,positive
gol timnas indonesia arab bilang bangga timnas indonesia maju semangat garuda ku,positive
bola arab pantul tubuh timnas masuk tendang lurus,negative
harap timnas siar indosiar highlight menit timnas indonesia baik rcti support baik,positive
belanda versus arab saudi,positive
juang garuda indonesia,positive
bilang indo naturalisasi main arab bet afrika,positive
wak aji gila tunjuk semangat,positive
gila gila permainanya cantik,negative
oeratmangoen nama medok jawa betoel,negative
indonesia tahan gol fokus oke,positive
cari komenan tetangga serum,positive
sabang merauke indonesian love players official mr erick thohir coach sty love,positive
senang bangga timnas garuda moga sukses terharuu,positive
komentator berisik,negative
marten paas tebus salah kerenn,negative
alhamdulillah semuga gbk indonesia point hadap timnas australia,positive
mancini lihat indonesia maen ketar tir,positive
wasit timur asia berat belah,positive
gilir arab main kasar dibiarin emng juri arab gtu sok sok pahlawan arab belakang khianat,negative
wasit arab bela kelicik udah genetik khianat kasih amanah,positive
iya alloh izin negara gila bola lolos piala dunia,negative
neymar,positive
main arab bahrain hans ball provokasi,negative
tinggal komentator si liga tarkam,negative
arab banyak akting,positive
drma main saudi,positive
hai,positive
nice,positive
biasa indonesia endonesia,positive
semgtt indonesia,negative
anjay keren istimewa timnas bagus skrg serasa lihat tim eropa,positive
isi banyak bule indo uppsa,negative
ku moga jordi ahmad main lawan australia hancur ntar lini,negative
aku indonesia lvl lawan team kuat,positive
iya timnas tangguh bangga,positive
kiper orang bos,negative
tim indo main luar beda sensasi,positive
indonesia cari triker,positive
komentator ras ganti,negative
kirain pepe naturalisasi indonesia ragnar,positive
timnas indo bule iya,positive
menang curi poin australia gbk away bahrain china kertas timnas menang seru banget book poin lawan jepang atas kertas jepang kuat cari imbang hebat,positive
sayang passing struijk nyampe ragnar,negative
bumi jaga gawang gila columbia si rene higuita indonesia si paez,negative
timnas ok,positive
tanding tanding piala dunia,positive
komentar greget dukung timnas indonesia ganti lawan team australia,positive
ubah main timnas kali main timnas kayak tim eropa moga jaya depan timnas era joss,positive
hadeh banget main asli indo sedih banget lihat,negative
lihat mancini kasihan,positive
mga timnas indonesia tampil piala dunia untk prtm kali,positive
gile bener indo lawan mancini,negative
parah banget wasit,negative
salah main indah timnas turut bravo indonesia,positive
trending,positive
moga tiem garuda semangat menang bangga indonesia,positive
mari gelora narasi skrng ukur main naturalisasi turun lokal ukur liga main asal liga eropa liga asia liga indonesia tau kualitas liga karna kunci sukses timnas nasional main liga bagus inti timnas indonesia maju narasi liga main asal lokal naturalisasi turun thanks,positive
garuda keren indonesia indonesia indonesia,positive
wasit curang gasih uang iya,negative
progres indo buat sok bola nasional sampek putar final pildun bravo spk bl nasiaonal,positive
wasit licik,positive
next lawan australia main indonesia body lbh isi andal power pressure bola setpiece tim diving guling guling ngeselin bahrain kelas aussie emosi ketemu tim level asia tenggara cina cina kali ketemu thailand menang seri seri singapura msh level asia tenggara cina temu tim tik taka asia jepang ribu variasi serang kaki kaki cepat intelegensi main,positive
witan riski ridho naturalisasi belanda keren,positive
okee,positive
prediksi jk timnas lolos bbak sljutnya pos relistisnya prediksi tim palestina brada pos laga kdua ngara drwa beda skor nnti laga kdua rs msih kt sykur mng plestina sllu mnular piala asia kmren lolos,negative
timnas menang,positive
bosen bosen lihat good joob penggawa timnas garuda indonesia,positive
indonesia main gmna rumput rumput arab bagus main mnunjang timnas gbk ngawur lapang tarkam,positive
laga slalu sulit bruntung dpat hasil bgus bruntung tau sndiri arab lagan pildun laga kdua tentu dpat menang laga kandang rugi hadap lagan pildun australia mng kiper paes potong umpan silang strategi australia condong crossing heading jk dpat hasil bgus lgi poin expektasi posisi,negative
nnice,positive
moga timnas hasil iya allah aamiin,positive
beforematch kick udah aftermatch pluit tiup tayang langsung hilang lane stadion,negative
goal balas trlmbat nutup sih,negative
gaya mai ronaldo brasil si ragnar,positive
mode macan bangun tidur indonesia,negative
ragu strategi sty pssi tang latih main ok walupun rata level arab tahan imbang bawa point apresiasi pssi timnas garuda,positive
main timnas indonesia negara liga indonesia,positive
indonesia masuk kotak pinalti bek saudi kocarkacir panik,negative
finishing sia sia timnas gol sarang gawang arab saudi timnas kompak timnas skrg tinggal counter attack eksekusi evaluasi,positive
assalamualaikum world cup,positive
ayo garuda ijin alloh gunung daki ykin,positive
muantaabs,negative
hamdulillah terima kasih alloh smga timnas lolos piala dunia,positive
eh bang salim algojo pinalti lawan polandia piala dunia qatar kemaren jeblos pinalti,negative
timnas jooss muantabb,negative
wajah ragnar boss mafia lapang,negative
urut nih bos,negative
nyangka arab nahan imbang indonesia pdhl hrsnya tuk menang indonesia,negative
mental milik main lokal berani sikut sikut main lawan bentak dandikasari main lawan ciut main lokal ajar saing salah sty jajar main lokal ilang keren witan saing,negative
arab saudi ngimbangi timnas,positive
alhamdulillah indonesia suda imbagi paing arap saudi,positive
salut oeratmangoen udah kya pepe main,positive
jujur nyata indonesia butuh main tonton debar bosan main keren ciamik pasti minder postur tubuh ketemu lawan berani adu gengsi mantapzz timnas indonesia moga juara,positive
andai peluang indonesia gol sejarah indonesia raih menang arab saudi jeddah,positive
moment serang pinalty hilang karna struick salah umpan tebak umpan diagonal terobos depan karna kanan lari,negative
kasar main unta arab main indo hujan batu,negative
asa youtube premium iklanya,positive
bayang erick jabat asean panas mindset erik beda circle ketua fifa,negative
lihat arab saudi bagus main indonesia lebiih bagus main imbang main arab saudi heran arab saudi srg masuk piala dunia ker en teamnas garuda indonesia,positive
aduh sandy walsh oper sisi belah kiri shooting langsung aduh,negative
gimana kena mental main arab dibobolin penalty digagalin,negative
highlight top,positive
timnas indonesia capai runner yaallah moga mimpi piala dunia nyata mari doa percaya timnas mudah round aminn,positive
jelang babak timnas sempat second win main arab saudi laksana ibadah haji menang takut kuota haji indonesia hapus,positive
ngak uwong orak rak sudi,negative
ngenk andere,negative
ngena dol,negative
ngak faijah,negative
ragnar ngeri anjirr,negative
konco rene rak ret,negative
rak melu,negative
ngenak sik,negative
ajaib rak melu,negative
moh ajaib,positive
kiai ajaib bajigan,positive
arab saudi latih keras slalu mengunakan helm sni tabung gas kilo ngefek,negative
proses gol indonesia ragnar karna raghnar tendang umpan komentator gimana sih,negative
erick tohir tolong kontrak sty umur hidup luv full sty,negative
main indonesia gede skrng,negative
witan mai bagus,positive
asa lgi nonton sepak bola barcelona real madrid,positive
bosen bosen nonton ulang wasit laen,negative
ingin sty nyata ketemu jepang,positive
peluang timnas sayang pas gawang terkadang salah,negative
gedek tendang pojok arab ulang,negative
arab kasar bukti gbk,negative
rame wajah asing,positive
babak main inti ngimbangin arab babak ganti main liga babak bur gempur arab,positive
alhamdulilah,positive
peduli naturalisasi pakai kaos garuda berat orang indo bravo bust timnas,positive
neng lihat main timnas indonesia ganteng putih kayak bule jago burik kayak bravo indonesia,positive
mai kya gin king indo menang,positive
indonesia perkmbangan baguss,positive
banyak main aboard local pride sgt tinggal kualitas local pride aff sea games,positive
aduhh sayang menit menit si struk keong ngoper bola uda gol,negative
timnas australia senior junior songong ragnar kawan tolong digepreek bener kasih keras kendor biar pulang nang sedu,negative
mantep highlights rcti kayak belah,positive
nyawa main timnas indonesia tom haye natham tjo ragnar oratmangoen mantap timnas lawan kelas arab saudi materi main dunia,positive
iya allah izikan negara indonesia gila bola tampil dipildun,negative
tumben arab main bersih,positive
alhamdulillah poin indonesia,positive
sandi walse kenal fifa,positive
holland versus arab saudi,positive
pleas komentator versus negri pakek bhs inggris,positive
anak anak sinyo main anak pribumi bang cadang selamat kompeni voc gaya layak beeaya nuansa beda,positive
loyo kali ngopernya rafael struick ganti udah cape,negative
pas momen habis tanding siar biar haru juang timnas indonesia menang,positive
kayak grogi ngoper kmn boa teu ngoper musuh mulu,negative
onta licik,positive
sandy ngegolin respone lambang garuda cium,negative
komentator rcti gin banget,negative
nyala timnasku,positive
kuat garuda jos terima kasih pssi shin ta yong,positive
botak mai gacor,negative
gila nathan kalem kalem garang lapang keren timnas beeuhh gada muji juang timnas dbest inimah indonesia nahan imbang saudi saudi nahan imbang indonesia karna indonesia ngegol duluan,positive
man match marteen paes,positive
sandi wals ferrari main,positive
tom haye keren bngt sih,positive
indonesia imbang lawan cina australia tandang lebih kandang wajib menang lawan cina bahrain arab aman piala dunia,positive
nonton ulang ng bosan simak kayak amat sepak bola asyik nonton timnas kali kayak nonton aura sepak bola pildun moga timnas lolos masuk pildun aamiin timnas sukses,positive
mantap higlight kaya tv belah iya tv belah indosiar cumaa menit untung timnas senior tayang rcti,positive
vardong carvajal main madrid,positive
komentaror beerat belah,positive
hebat arab saudi nahan imbang indonesia salut main arab saudi,positive
editor keren kayak tv belah,positive
naturalisasi coba asli orang jawa sunda heehehehe,positive
haru baca komentar rekan cinta timnas mo cerita hilang main timnas moga timnas raih hasil positif laga aamiin,positive
mantap indonesia,positive
njir gelo,negative
suara wisley banget suara towel,negative
inti si marcelino masuk starting line buru buru main,positive
indonesia kw,positive
tatik keren berani nyerang tahan bgs konsisten keren bgg curi poin kandang saudi hrs hati acting lebay lwn pinter profokasi ciri khas main tmr ky gitu garuda dada,positive
lumayan tandang poin,positive
babak main timnas bagus gaya eropa babak main lokal masuk main timnas lembek mudah hilang bola kaya orang bingung mudah tekan lawan beda main naturalisasi main lokal,positive
ragnar okee,positive
rcti pokok ambil hak siar indo kasih tv azab liga ambil,positive
alhamdulilah aromah timnas lolos piyalah dunia suda,positive
gila verdonk maju mundur cantik,negative
main mantap barvo timans era main top,positive
witan bagus main,positive
sia datang main turun hebat indonesia,positive
tanding persis banget lirik lagu super dead judul muka tebal itu tanding dasar muka tebal cari tumbal si muka tebal lirik gin tlah lihat peduli lihat ku mati lirik terkahir gin bayang si muka tebal bayang cari tumbal bayang cari tumbal bayang si muka tebal lawan korea indonesia bantai goal korea allah bnr tau tanding indonesia versus korea tau badan ringan allahu akbar,negative
prediksi binder,positive
main kelas eropa mantab banget timnas indonesia,positive
bangga kerja keras timnas indonesia lanjut,positive
hasil padu latih usaha kerjakeras jalur langit umrah,positive
alih kuasa bola main tahan posisi nomor leluasa ketimbang rekan nomor gali informasi cingak celinguk cek situasi sebentar cepat defender antisipasi informasi good job versus arab,positive
moga main naturalisasi main liga dagel indonesia langsung drop skill,positive
indah keren banget main indo semangat indonesia moga klub eropa main,positive
keren hrs tanang kuasa bola,negative
arab saudi main pake trik curang cenderung kasar nih kartu merah si kanno oratmangoen gundul nigel de jong deh,negative
tiger upin ipin kabar,positive
